Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
Lamotrigine,can cause,"rash and, rarely, Stevens-Johnson syndrome.",Lamotrigine,can cause,"rash and, rarely, Stevens-Johnson syndrome.","Lamotrigine can cause rash and, rarely, Stevens-Johnson syndrome.",215
Rapid increase in Lamotrigine dosage,is associated with,a higher risk of Stevens-Johnson syndrome.,Rapid increase in Lamotrigine dosage,is associated with,a higher risk of Stevens-Johnson syndrome.,Rapid increase in Lamotrigine dosage is associated with a higher risk of Stevens-Johnson syndrome.,216
Patients on Lamotrigine,should report,"new rash, hives, fever, swollen glands, mouth and eye sores, and lip or tongue swelling.",Patients on Lamotrigine,should report,"new rash, hives, fever, swollen glands, mouth and eye sores, and lip or tongue swelling.","Patients on Lamotrigine should report new rash, hives, fever, swollen glands, mouth and eye sores, and lip or tongue swelling.",217
Acute manic psychosis,is managed with,second-generation antipsychotics.,Acute manic psychosis,is managed with,second-generation antipsychotics.,Acute manic psychosis is managed with second-generation antipsychotics.,218
Second-generation antipsychotics,include,"Aripiprazole, Cariprazine, Lurasidone, Olanzapine, Quetiapine, Risperidone, and Ziprasidone.",Second-generation antipsychotics,include,"Aripiprazole, Cariprazine, Lurasidone, Olanzapine, Quetiapine, Risperidone, and Ziprasidone.","Second-generation antipsychotics include Aripiprazole, Cariprazine, Lurasidone, Olanzapine, Quetiapine, Risperidone, and Ziprasidone.",219
Some second-generation antipsychotics,may enhance,the effects of mood stabilizers after the acute phase.,Some second-generation antipsychotics,may enhance,the effects of mood stabilizers after the acute phase.,Some second-generation antipsychotics may enhance the effects of mood stabilizers after the acute phase.,220
Medications,may cause,extrapyramidal adverse effects and akathisia.,Medications,may cause,extrapyramidal adverse effects and akathisia.,Medications may cause extrapyramidal adverse effects and akathisia.,221
Quetiapine and olanzapine,have,a lower risk of these effects due to their sedating nature.,Quetiapine and olanzapine,have,a lower risk of these effects due to their sedating nature.,Quetiapine and olanzapine have a lower risk of these effects due to their sedating nature.,222
Adverse effects,can include,substantial weight gain and metabolic syndrome development.,Adverse effects,can include,substantial weight gain and metabolic syndrome development.,Adverse effects can include substantial weight gain and metabolic syndrome development.,223
Metabolic syndrome,encompasses,"weight gain, excess abdominal fat, insulin resistance, and dyslipidemia.",Metabolic syndrome,encompasses,"weight gain, excess abdominal fat, insulin resistance, and dyslipidemia.","Metabolic syndrome encompasses weight gain, excess abdominal fat, insulin resistance, and dyslipidemia.",224
"Lurasidone, ziprasidone, and aripiprazole",may have,a lower risk of these less immediate adverse effects.,"Lurasidone, ziprasidone, and aripiprazole",may have,a lower risk of these less immediate adverse effects.,"Lurasidone, ziprasidone, and aripiprazole may have a lower risk of these less immediate adverse effects.",225
Extremely hyperactive psychotic patients with poor food and fluid intake,may benefit from,an intramuscular (IM) antipsychotic.,Extremely hyperactive psychotic patients with poor food and fluid intake,may benefit from,an intramuscular (IM) antipsychotic.,Extremely hyperactive psychotic patients with poor food and fluid intake may benefit from an intramuscular (IM) antipsychotic.,226
Supportive care and additional treatment,may be appropriate,for these patients with lithium or an antiseizure medication.,Supportive care and additional treatment,may be appropriate,for these patients with lithium or an antiseizure medication.,Supportive care and additional treatment may be appropriate for these patients with lithium or an antiseizure medication.,227
Specific antidepressants,are sometimes used,"for severe depression, such as selective serotonin reuptake inhibitors (SSRIs).",Specific antidepressants,are sometimes used,"for severe depression, such as selective serotonin reuptake inhibitors (SSRIs).","Specific antidepressants are sometimes used for severe depression, such as selective serotonin reuptake inhibitors (SSRIs).",228
The effectiveness of SSRIs,is,controversial for severe depression.,The effectiveness of SSRIs,is,controversial for severe depression.,The effectiveness of SSRIs is controversial for severe depression.,229
SSRIs,are generally not recommended,as the sole treatment for depressive episodes.,SSRIs,are generally not recommended,as the sole treatment for depressive episodes.,SSRIs are generally not recommended as the sole treatment for depressive episodes.,230
Evidence,suggests,"that sertraline, an SSRI, may be safe and effective as monotherapy for bipolar II depression.",Evidence,suggests,"that sertraline, an SSRI, may be safe and effective as monotherapy for bipolar II depression.","Evidence suggests that sertraline, an SSRI, may be safe and effective as monotherapy for bipolar II depression.",231
Small studies,have indicated,that tranylcypromine may be more effective than other antidepressants for bipolar depression.,Small studies,have indicated,that tranylcypromine may be more effective than other antidepressants for bipolar depression.,Small studies have indicated that tranylcypromine may be more effective than other antidepressants for bipolar depression.,232
Lithium use during pregnancy,is associated with,"a higher risk of cardiovascular malformations, especially Ebstein anomaly.",Lithium use during pregnancy,is associated with,"a higher risk of cardiovascular malformations, especially Ebstein anomaly.","Lithium use during pregnancy is associated with a higher risk of cardiovascular malformations, especially Ebstein anomaly.",233
The absolute risk of Ebstein anomaly,due to,lithium use in pregnancy remains low.,The absolute risk of Ebstein anomaly,due to,lithium use in pregnancy remains low.,The absolute risk of Ebstein anomaly due to lithium use in pregnancy remains low.,234
Lithium,increases,the relative risk of any congenital anomaly by approximately 2-fold during pregnancy.,Lithium,increases,the relative risk of any congenital anomaly by approximately 2-fold during pregnancy.,Lithium increases the relative risk of any congenital anomaly by approximately 2-fold during pregnancy.,235
The risk of congenital anomalies from lithium,is similar to,the 2- to 3-fold increase seen with carbamazepine or lamotrigine use.,The risk of congenital anomalies from lithium,is similar to,the 2- to 3-fold increase seen with carbamazepine or lamotrigine use.,The risk of congenital anomalies from lithium is similar to the 2- to 3-fold increase seen with carbamazepine or lamotrigine use.,236
The risk of congenital anomalies from lithium,is,substantially lower than the risk from valproate use.,The risk of congenital anomalies from lithium,is,substantially lower than the risk from valproate use.,The risk of congenital anomalies from lithium is substantially lower than the risk from valproate use.,237
Valproate,presents,a 2 to 7 times higher risk of neural tube defects compared to other antiseizure medications.,Valproate,presents,a 2 to 7 times higher risk of neural tube defects compared to other antiseizure medications.,Valproate presents a 2 to 7 times higher risk of neural tube defects compared to other antiseizure medications.,238
Valproate,is associated with,a higher incidence of congenital malformations than other commonly used antiseizure medications.,Valproate,is associated with,a higher incidence of congenital malformations than other commonly used antiseizure medications.,Valproate is associated with a higher incidence of congenital malformations than other commonly used antiseizure medications.,239
Use of Valproate during pregnancy,is contraindicated,due to the elevated risk of birth defects.,Use of Valproate during pregnancy,is contraindicated,due to the elevated risk of birth defects.,Use of Valproate during pregnancy is contraindicated due to the elevated risk of birth defects.,240
Valproate,increases the risk of,"congenital heart defects, genitourinary anomalies, musculoskeletal abnormalities, and cleft lip or palate.",Valproate,increases the risk of,"congenital heart defects, genitourinary anomalies, musculoskeletal abnormalities, and cleft lip or palate.","Valproate increases the risk of congenital heart defects, genitourinary anomalies, musculoskeletal abnormalities, and cleft lip or palate.",241
Cognitive outcomes in children,are negatively affected,when women take Valproate during pregnancy.,Cognitive outcomes in children,are negatively affected,when women take Valproate during pregnancy.,Cognitive outcomes in children are negatively affected when women take Valproate during pregnancy.,242
The risk of lower cognitive outcomes in children,is dose-related,to Valproate usage during pregnancy.,The risk of lower cognitive outcomes in children,is dose-related,to Valproate usage during pregnancy.,The risk of lower cognitive outcomes in children is dose-related to Valproate usage during pregnancy.,243
Valproate usage during pregnancy,may increase the risk of,attention-deficit/hyperactivity disorder in children.,Valproate usage during pregnancy,may increase the risk of,attention-deficit/hyperactivity disorder in children.,Valproate usage during pregnancy may increase the risk of attention-deficit/hyperactivity disorder in children.,244
Valproate usage during pregnancy,may increase the risk,of autism spectrum disorders in children.,Valproate usage during pregnancy,may increase the risk,of autism spectrum disorders in children.,Valproate usage during pregnancy may increase the risk of autism spectrum disorders in children.,245
First-generation antipsychotics and tricyclic antidepressants,show,no causes for concern when used during early pregnancy.,First-generation antipsychotics and tricyclic antidepressants,show,no causes for concern when used during early pregnancy.,First-generation antipsychotics and tricyclic antidepressants show no causes for concern when used during early pregnancy.,246
Second-generation antipsychotics,are generally safe during,"early pregnancy, except for possible concerns with risperidone.",Second-generation antipsychotics,are generally safe during,"early pregnancy, except for possible concerns with risperidone.","Second-generation antipsychotics are generally safe during early pregnancy, except for possible concerns with risperidone.",247
Selective serotonin reuptake inhibitors (SSRIs),have,a low risk of teratogenicity.,Selective serotonin reuptake inhibitors (SSRIs),have,a low risk of teratogenicity.,Selective serotonin reuptake inhibitors (SSRIs) have a low risk of teratogenicity.,248
Paroxetine,may have,"a small absolute increased risk of congenital heart defects, although studies are inconsistent.",Paroxetine,may have,"a small absolute increased risk of congenital heart defects, although studies are inconsistent.","Paroxetine may have a small absolute increased risk of congenital heart defects, although studies are inconsistent.",249
Data,on the risks of,second-generation antipsychotics to the fetus during early pregnancy are currently sparse.,Data,on the risks of,second-generation antipsychotics to the fetus during early pregnancy are currently sparse.,Data on the risks of second-generation antipsychotics to the fetus during early pregnancy are currently sparse.,250
Second-generation antipsychotics,are increasingly used,for all phases of bipolar disorder.,Second-generation antipsychotics,are increasingly used,for all phases of bipolar disorder.,Second-generation antipsychotics are increasingly used for all phases of bipolar disorder.,251
Use of medications like lithium and SSRIs,may affect,newborns postpartum.,Use of medications like lithium and SSRIs,may affect,newborns postpartum.,Use of medications like lithium and SSRIs may affect newborns postpartum.,252
Unplanned pregnancies,can result in,teratogenic effects before clinicians are aware.,Unplanned pregnancies,can result in,teratogenic effects before clinicians are aware.,Unplanned pregnancies can result in teratogenic effects before clinicians are aware.,253
Consultation,is advisable,with a perinatal psychiatrist.,Consultation,is advisable,with a perinatal psychiatrist.,Consultation is advisable with a perinatal psychiatrist.,254
Discussing the risks and benefits of treatment,is,crucial with patients.,Discussing the risks and benefits of treatment,is,crucial with patients.,Discussing the risks and benefits of treatment is crucial with patients.,255
Bipolar disorder,features,"alternating periods of mania, depression, and normal mood.",Bipolar disorder,features,"alternating periods of mania, depression, and normal mood.","Bipolar disorder features alternating periods of mania, depression, and normal mood.",256
Each mood phase,can last,from weeks to months.,Each mood phase,can last,from weeks to months.,Each mood phase can last from weeks to months.,257
Diagnosis of bipolar disorder,relies on,clinical criteria.,Diagnosis of bipolar disorder,relies on,clinical criteria.,Diagnosis of bipolar disorder relies on clinical criteria.,258
Treatment for bipolar disorder,includes,mood stabilizers such as lithium.,Treatment for bipolar disorder,includes,mood stabilizers such as lithium.,Treatment for bipolar disorder includes mood stabilizers such as lithium.,259
Certain anticonvulsants,are used in,the treatment of bipolar disorder.,Certain anticonvulsants,are used in,the treatment of bipolar disorder.,Certain anticonvulsants are used in the treatment of bipolar disorder.,260
Antipsychotic medications,are part of,the bipolar disorder treatment regimen.,Antipsychotic medications,are part of,the bipolar disorder treatment regimen.,Antipsychotic medications are part of the bipolar disorder treatment regimen.,261
Psychotherapy,is a component of,treating bipolar disorder.,Psychotherapy,is a component of,treating bipolar disorder.,Psychotherapy is a component of treating bipolar disorder.,262
Antidepressants,may be used in the treatment,of bipolar disorder.,Antidepressants,may be used in the treatment,of bipolar disorder.,Antidepressants may be used in the treatment of bipolar disorder.,263
Bipolar disorder,usually starts,between mid-adolescence and the mid-20s.,Bipolar disorder,usually starts,between mid-adolescence and the mid-20s.,Bipolar disorder usually starts between mid-adolescence and the mid-20s.,264
The initial manifestation in many children with bipolar disorder,is,one or more episodes of depression.,The initial manifestation in many children with bipolar disorder,is,one or more episodes of depression.,The initial manifestation in many children with bipolar disorder is one or more episodes of depression.,265
Reference,is made,to Bipolar Disorders in adults for additional context.,Reference,is made,to Bipolar Disorders in adults for additional context.,Reference is made to Bipolar Disorders in adults for additional context.,266
Bipolar disorder,is,uncommon among children.,Bipolar disorder,is,uncommon among children.,Bipolar disorder is uncommon among children.,267
Bipolar disorder,was historically diagnosed in,"prepubertal children with severe, fluctuating moods.",Bipolar disorder,was historically diagnosed in,"prepubertal children with severe, fluctuating moods.","Bipolar disorder was historically diagnosed in prepubertal children with severe, fluctuating moods.",268
Children previously diagnosed with bipolar disorder,often develop into,cases of depressive disorder.,Children previously diagnosed with bipolar disorder,often develop into,cases of depressive disorder.,Children previously diagnosed with bipolar disorder often develop into cases of depressive disorder.,269
"Prepubertal children with intense, unstable moods",are currently classified with,disruptive mood dysregulation disorder.,"Prepubertal children with intense, unstable moods",are currently classified with,disruptive mood dysregulation disorder.,"Prepubertal children with intense, unstable moods are currently classified with disruptive mood dysregulation disorder.",270
Heredity,plays a role,in the development of bipolar disorder.,Heredity,plays a role,in the development of bipolar disorder.,Heredity plays a role in the development of bipolar disorder.,271
Several genetic variants,are associated with,bipolar disorder.,Several genetic variants,are associated with,bipolar disorder.,Several genetic variants are associated with bipolar disorder.,272
No genetic markers,are useful for diagnosing,bipolar disorder.,No genetic markers,are useful for diagnosing,bipolar disorder.,No genetic markers are useful for diagnosing bipolar disorder.,273
Neuroimaging studies,report,smaller amygdala volumes in youths.,Neuroimaging studies,report,smaller amygdala volumes in youths.,Neuroimaging studies report smaller amygdala volumes in youths.,274
Neuroimaging studies,find,reduced prefrontal cortex volumes in youths.,Neuroimaging studies,find,reduced prefrontal cortex volumes in youths.,Neuroimaging studies find reduced prefrontal cortex volumes in youths.,275
Youths,exhibit,a lack of the normal increase in amygdala volume during adolescence.,Youths,exhibit,a lack of the normal increase in amygdala volume during adolescence.,Youths exhibit a lack of the normal increase in amygdala volume during adolescence.,276
Youths,show an absence of,the typical growth in anterior white matter volume during adolescence.,Youths,show an absence of,the typical growth in anterior white matter volume during adolescence.,Youths show an absence of the typical growth in anterior white matter volume during adolescence.,277
Certain drugs,can exacerbate or mimic,the disorder.,Certain drugs,can exacerbate or mimic,the disorder.,Certain drugs can exacerbate or mimic the disorder.,278
Environmental toxins like lead,can also exacerbate or mimic,the disorder.,Environmental toxins like lead,can also exacerbate or mimic,the disorder.,Environmental toxins like lead can also exacerbate or mimic the disorder.,279
Thyroid disorders,can cause,symptoms similar to the disorder.,Thyroid disorders,can cause,symptoms similar to the disorder.,Thyroid disorders can cause symptoms similar to the disorder.,280
Case reports,exist of,mania associated with asymptomatic COVID-19 infections in youths.,Case reports,exist of,mania associated with asymptomatic COVID-19 infections in youths.,Case reports exist of mania associated with asymptomatic COVID-19 infections in youths.,281
Case reports,also document,mania associated with symptomatic COVID-19 infections in youths.,Case reports,also document,mania associated with symptomatic COVID-19 infections in youths.,Case reports also document mania associated with symptomatic COVID-19 infections in youths.,282
Bipolar disorder,involves,"recurrent episodes of elevated mood, such as mania or hypomania.",Bipolar disorder,involves,"recurrent episodes of elevated mood, such as mania or hypomania.","Bipolar disorder involves recurrent episodes of elevated mood, such as mania or hypomania.",283
Manic episodes,alternate with,depressive episodes in bipolar disorder.,Manic episodes,alternate with,depressive episodes in bipolar disorder.,Manic episodes alternate with depressive episodes in bipolar disorder.,284
Depressive episodes in bipolar disorder,can occur,more frequently than manic episodes.,Depressive episodes in bipolar disorder,can occur,more frequently than manic episodes.,Depressive episodes in bipolar disorder can occur more frequently than manic episodes.,285
Adolescents experiencing a manic episode,may exhibit,a very positive mood or hyperirritability.,Adolescents experiencing a manic episode,may exhibit,a very positive mood or hyperirritability.,Adolescents experiencing a manic episode may exhibit a very positive mood or hyperirritability.,286
The mood of adolescents during a manic episode,can change,based on social circumstances.,The mood of adolescents during a manic episode,can change,based on social circumstances.,The mood of adolescents during a manic episode can change based on social circumstances.,287
Adolescents with mania,often display,rapid and pressured speech.,Adolescents with mania,often display,rapid and pressured speech.,Adolescents with mania often display rapid and pressured speech.,288
Sleep,is decreased during,manic episodes in adolescents with bipolar disorder.,Sleep,is decreased during,manic episodes in adolescents with bipolar disorder.,Sleep is decreased during manic episodes in adolescents with bipolar disorder.,289
Self-esteem,is inflated during,manic episodes in adolescents with bipolar disorder.,Self-esteem,is inflated during,manic episodes in adolescents with bipolar disorder.,Self-esteem is inflated during manic episodes in adolescents with bipolar disorder.,290
Manic episodes in adolescents,may escalate,"to psychotic proportions, with delusions of grandeur.",Manic episodes in adolescents,may escalate,"to psychotic proportions, with delusions of grandeur.","Manic episodes in adolescents may escalate to psychotic proportions, with delusions of grandeur.",291
Judgment,is severely impaired,in adolescents during manic episodes of bipolar disorder.,Judgment,is severely impaired,in adolescents during manic episodes of bipolar disorder.,Judgment is severely impaired in adolescents during manic episodes of bipolar disorder.,292
Adolescents with bipolar disorder,may engage in,"risky behaviors, such as promiscuous sex or reckless driving, during manic episodes.",Adolescents with bipolar disorder,may engage in,"risky behaviors, such as promiscuous sex or reckless driving, during manic episodes.","Adolescents with bipolar disorder may engage in risky behaviors, such as promiscuous sex or reckless driving, during manic episodes.",293
Prepubertal children,may experience,dramatic moods.,Prepubertal children,may experience,dramatic moods.,Prepubertal children may experience dramatic moods.,294
The duration of moods in prepubertal children,is,much shorter than in adolescents.,The duration of moods in prepubertal children,is,much shorter than in adolescents.,The duration of moods in prepubertal children is much shorter than in adolescents.,295
Moods in prepubertal children,often last,only a few moments.,Moods in prepubertal children,often last,only a few moments.,Moods in prepubertal children often last only a few moments.,296
Onset of the condition,is,insidious.,Onset of the condition,is,insidious.,Onset of the condition is insidious.,297
Children with the condition,usually have,a history of being very temperamental.,Children with the condition,usually have,a history of being very temperamental.,Children with the condition usually have a history of being very temperamental.,298
Children with the condition,are often,difficult to manage.,Children with the condition,are often,difficult to manage.,Children with the condition are often difficult to manage.,299
Diagnosis of bipolar disorder,relies on,recognizing symptoms of mania.,Diagnosis of bipolar disorder,relies on,recognizing symptoms of mania.,Diagnosis of bipolar disorder relies on recognizing symptoms of mania.,300
Diagnosis of bipolar disorder,requires,a documented history of remission and relapse.,Diagnosis of bipolar disorder,requires,a documented history of remission and relapse.,Diagnosis of bipolar disorder requires a documented history of remission and relapse.,301
Medical disorders,must be excluded,"through medical assessment such as thyroid disorders, brain infections, or tumors.",Medical disorders,must be excluded,"through medical assessment such as thyroid disorders, brain infections, or tumors.","Medical disorders must be excluded through medical assessment such as thyroid disorders, brain infections, or tumors.",302
A toxicology screen,is necessary to rule out,drug intoxication from drugs of abuse and environmental toxins.,A toxicology screen,is necessary to rule out,drug intoxication from drugs of abuse and environmental toxins.,A toxicology screen is necessary to rule out drug intoxication from drugs of abuse and environmental toxins.,303
The interviewer,must investigate,potential precipitating events like severe psychological stress.,The interviewer,must investigate,potential precipitating events like severe psychological stress.,The interviewer must investigate potential precipitating events like severe psychological stress.,304
The interviewer,should inquire about,instances of sexual abuse or incest as possible triggers.,The interviewer,should inquire about,instances of sexual abuse or incest as possible triggers.,The interviewer should inquire about instances of sexual abuse or incest as possible triggers.,305
2nd-generation antipsychotics,are the first line of treatment,for mania.,2nd-generation antipsychotics,are the first line of treatment,for mania.,2nd-generation antipsychotics are the first line of treatment for mania.,306
"Aripiprazole, lurasidone, olanzapine, quetiapine, risperidone, and ziprasidone",are agents used in,the treatment of mania.,"Aripiprazole, lurasidone, olanzapine, quetiapine, risperidone, and ziprasidone",are agents used in,the treatment of mania.,"Aripiprazole, lurasidone, olanzapine, quetiapine, risperidone, and ziprasidone are agents used in the treatment of mania.",307
"Lithium, divalproex, lamotrigine, and carbamazepine",are,mood stabilizers.,"Lithium, divalproex, lamotrigine, and carbamazepine",are,mood stabilizers.,"Lithium, divalproex, lamotrigine, and carbamazepine are mood stabilizers.",308
Mood stabilizers,may be used for,patients who fail 2 or 3 trials of antipsychotics.,Mood stabilizers,may be used for,patients who fail 2 or 3 trials of antipsychotics.,Mood stabilizers may be used for patients who fail 2 or 3 trials of antipsychotics.,309
2nd-generation antipsychotics combined with a selective serotonin reuptake inhibitor (SSRI),are,the first line of treatment for depression.,2nd-generation antipsychotics combined with a selective serotonin reuptake inhibitor (SSRI),are,the first line of treatment for depression.,2nd-generation antipsychotics combined with a selective serotonin reuptake inhibitor (SSRI) are the first line of treatment for depression.,310
Lithium,serves as an alternative treatment for,depression and can be combined with an SSRI.,Lithium,serves as an alternative treatment for,depression and can be combined with an SSRI.,Lithium serves as an alternative treatment for depression and can be combined with an SSRI.,311
Lithium use,leads to,"decreased suicidality, less depression, and better psychosocial function compared to other mood stabilizers and antipsychotics.",Lithium use,leads to,"decreased suicidality, less depression, and better psychosocial function compared to other mood stabilizers and antipsychotics.","Lithium use leads to decreased suicidality, less depression, and better psychosocial function compared to other mood stabilizers and antipsychotics.",312
The benefits of lithium,are consistent with,findings in adults.,The benefits of lithium,are consistent with,findings in adults.,The benefits of lithium are consistent with findings in adults.,313
Antidepressants,should not be used as monotherapy but rather in conjunction with,antipsychotics or lithium for treating depression.,Antidepressants,should not be used as monotherapy but rather in conjunction with,antipsychotics or lithium for treating depression.,Antidepressants should not be used as monotherapy but rather in conjunction with antipsychotics or lithium for treating depression.,314
Antidepressants,do not increase,the risk of treatment-emergent mania.,Antidepressants,do not increase,the risk of treatment-emergent mania.,Antidepressants do not increase the risk of treatment-emergent mania.,315
Antidepressants,may cause,destabilization in children and adolescents with bipolar disorder.,Antidepressants,may cause,destabilization in children and adolescents with bipolar disorder.,Antidepressants may cause destabilization in children and adolescents with bipolar disorder.,316
Psychotherapy,is an important component of,treatment for depression.,Psychotherapy,is an important component of,treatment for depression.,Psychotherapy is an important component of treatment for depression.,317
2nd-generation antipsychotics,are the first-line treatment,for pediatric bipolar disorder.,2nd-generation antipsychotics,are the first-line treatment,for pediatric bipolar disorder.,2nd-generation antipsychotics are the first-line treatment for pediatric bipolar disorder.,318
Risperidone,is an example of,a 2nd-generation antipsychotic used for pediatric bipolar disorder.,Risperidone,is an example of,a 2nd-generation antipsychotic used for pediatric bipolar disorder.,Risperidone is an example of a 2nd-generation antipsychotic used for pediatric bipolar disorder.,319
Lithium,is effective in decreasing,suicidal ideation.,Lithium,is effective in decreasing,suicidal ideation.,Lithium is effective in decreasing suicidal ideation.,320
Prognosis for adolescents with bipolar disorder,worsens,with each recurrence.,Prognosis for adolescents with bipolar disorder,worsens,with each recurrence.,Prognosis for adolescents with bipolar disorder worsens with each recurrence.,321
Early age of onset,increases risk of,recurrence in adolescents with bipolar disorder.,Early age of onset,increases risk of,recurrence in adolescents with bipolar disorder.,Early age of onset increases risk of recurrence in adolescents with bipolar disorder.,322
Severity of symptoms,increases risk of,recurrence in adolescents with bipolar disorder.,Severity of symptoms,increases risk of,recurrence in adolescents with bipolar disorder.,Severity of symptoms increases risk of recurrence in adolescents with bipolar disorder.,323
Family psychopathology,increases,risk of recurrence in adolescents with bipolar disorder.,Family psychopathology,increases,risk of recurrence in adolescents with bipolar disorder.,Family psychopathology increases risk of recurrence in adolescents with bipolar disorder.,324
Lack of adherence to treatment,increases risk of,recurrence in adolescents with bipolar disorder.,Lack of adherence to treatment,increases risk of,recurrence in adolescents with bipolar disorder.,Lack of adherence to treatment increases risk of recurrence in adolescents with bipolar disorder.,325
Adolescents with bipolar disorder,who have,mild to moderate symptoms and respond well to treatment have an excellent prognosis.,Adolescents with bipolar disorder,who have,mild to moderate symptoms and respond well to treatment have an excellent prognosis.,Adolescents with bipolar disorder who have mild to moderate symptoms and respond well to treatment have an excellent prognosis.,326
Adherence and cooperation with treatment,improve,prognosis for adolescents with bipolar disorder.,Adherence and cooperation with treatment,improve,prognosis for adolescents with bipolar disorder.,Adherence and cooperation with treatment improve prognosis for adolescents with bipolar disorder.,327
Treatment response,for,adolescents with bipolar disorder is often incomplete.,Treatment response,for,adolescents with bipolar disorder is often incomplete.,Treatment response for adolescents with bipolar disorder is often incomplete.,328
Adolescents with bipolar disorder,are often nonadherent,to drug regimens.,Adolescents with bipolar disorder,are often nonadherent,to drug regimens.,Adolescents with bipolar disorder are often nonadherent to drug regimens.,329
Adolescents with bipolar disorder,who are nonadherent to treatment,have a poorer long-term prognosis.,Adolescents with bipolar disorder,who are nonadherent to treatment,have a poorer long-term prognosis.,Adolescents with bipolar disorder who are nonadherent to treatment have a poorer long-term prognosis.,330
Long-term prognosis,for,prepubertal children with bipolar disorder remains largely unknown.,Long-term prognosis,for,prepubertal children with bipolar disorder remains largely unknown.,Long-term prognosis for prepubertal children with bipolar disorder remains largely unknown.,331
Diagnosis of bipolar disorder in prepubertal children,is based on,highly unstable and intense moods.,Diagnosis of bipolar disorder in prepubertal children,is based on,highly unstable and intense moods.,Diagnosis of bipolar disorder in prepubertal children is based on highly unstable and intense moods.,332
Bipolar disorder,features,"alternating periods of mania, depression, and normal mood.",Bipolar disorder,features,"alternating periods of mania, depression, and normal mood.","Bipolar disorder features alternating periods of mania, depression, and normal mood.",333
These mood episodes,can last,from weeks to months.,These mood episodes,can last,from weeks to months.,These mood episodes can last from weeks to months.,334
Bipolar disorder,usually starts,between mid-adolescence and the mid-20s.,Bipolar disorder,usually starts,between mid-adolescence and the mid-20s.,Bipolar disorder usually starts between mid-adolescence and the mid-20s.,335
It,is uncommon for,bipolar disorder to occur in children.,It,is uncommon for,bipolar disorder to occur in children.,It is uncommon for bipolar disorder to occur in children.,336
Children with bipolar disorder,often have a history of being,temperamental and hard to manage.,Children with bipolar disorder,often have a history of being,temperamental and hard to manage.,Children with bipolar disorder often have a history of being temperamental and hard to manage.,337
Antipsychotics,are the first line of treatment,for manic or agitated episodes in adolescents and prepubertal children.,Antipsychotics,are the first line of treatment,for manic or agitated episodes in adolescents and prepubertal children.,Antipsychotics are the first line of treatment for manic or agitated episodes in adolescents and prepubertal children.,338
Antipsychotics,are chosen because,they act quickly.,Antipsychotics,are chosen because,they act quickly.,Antipsychotics are chosen because they act quickly.,339
Mood stabilizers,are used following antipsychotics,to prevent relapses in bipolar disorder.,Mood stabilizers,are used following antipsychotics,to prevent relapses in bipolar disorder.,Mood stabilizers are used following antipsychotics to prevent relapses in bipolar disorder.,340
SSRIs and psychotherapy,are treatments for,depressive episodes in bipolar disorder.,SSRIs and psychotherapy,are treatments for,depressive episodes in bipolar disorder.,SSRIs and psychotherapy are treatments for depressive episodes in bipolar disorder.,341
Mood disorders,are,emotional disturbances.,Mood disorders,are,emotional disturbances.,Mood disorders are emotional disturbances.,342
Mood disorders,involve,prolonged periods of excessive sadness.,Mood disorders,involve,prolonged periods of excessive sadness.,Mood disorders involve prolonged periods of excessive sadness.,343
Mood disorders,include,prolonged periods of excessive elevated mood.,Mood disorders,include,prolonged periods of excessive elevated mood.,Mood disorders include prolonged periods of excessive elevated mood.,344
Mood disorders,may also encompass,both excessive sadness and elevated mood.,Mood disorders,may also encompass,both excessive sadness and elevated mood.,Mood disorders may also encompass both excessive sadness and elevated mood.,345
Adults,can experience,mood disorders.,Adults,can experience,mood disorders.,Adults can experience mood disorders.,346
Adolescents,can suffer from,mood disorders.,Adolescents,can suffer from,mood disorders.,Adolescents can suffer from mood disorders.,347
Children,can be affected by,mood disorders.,Children,can be affected by,mood disorders.,Children can be affected by mood disorders.,348
Depressive Disorders in Children and Adolescents,are,a type of mood disorder.,Depressive Disorders in Children and Adolescents,are,a type of mood disorder.,Depressive Disorders in Children and Adolescents are a type of mood disorder.,349
Bipolar Disorder in Children and Adolescents,is,another form of mood disorder.,Bipolar Disorder in Children and Adolescents,is,another form of mood disorder.,Bipolar Disorder in Children and Adolescents is another form of mood disorder.,350
Mood disorders,include,Bipolar and Depressive disorders.,Mood disorders,include,Bipolar and Depressive disorders.,Mood disorders include Bipolar and Depressive disorders.,351
Anxiety and related disorders,are separate from,mood disorders.,Anxiety and related disorders,are separate from,mood disorders.,Anxiety and related disorders are separate from mood disorders.,352
Anxiety and related disorders,often precede,mood disorders.,Anxiety and related disorders,often precede,mood disorders.,Anxiety and related disorders often precede mood disorders.,353
Anxiety and related disorders,frequently coexist with,mood disorders.,Anxiety and related disorders,frequently coexist with,mood disorders.,Anxiety and related disorders frequently coexist with mood disorders.,354
Sadness,is a universal response to,defeat.,Sadness,is a universal response to,defeat.,Sadness is a universal response to defeat.,355
Sadness,is,a universal response to disappointment.,Sadness,is,a universal response to disappointment.,Sadness is a universal response to disappointment.,356
Sadness,is a universal response to,discouraging situations.,Sadness,is a universal response to,discouraging situations.,Sadness is a universal response to discouraging situations.,357
Joy,is,a universal response to success.,Joy,is,a universal response to success.,Joy is a universal response to success.,358
